Carimbo de data/hora;Temperatura (ºC);Humidade (%);Pressão (hPa)
2020/11/01 03:43:31;16.5;94.4;678.99
2020/11/01 03:44:32;16.5;94.4;678.62
2020/11/01 03:45:32;16.6;94.3;678.94
2020/11/01 03:46:32;16.5;94.3;678.67
2020/11/01 03:47:32;16.6;94.4;678.62
2020/11/01 03:48:32;16.6;94.4;678.68
2020/11/01 03:49:32;16.6;94.4;678.64
2020/11/01 03:50:32;16.5;94.4;678.35
2020/11/01 03:51:33;16.6;94.5;678.73
2020/11/01 03:52:33;16.5;94.5;677.96
2020/11/01 03:53:33;16.5;94.5;678.25
2020/11/01 03:54:33;16.5;94.6;678.31
2020/11/01 03:55:33;16.5;94.7;678.62
2020/11/01 03:56:33;16.6;94.7;678.14
2020/11/01 03:57:34;16.6;94.7;678.18
2020/11/01 03:58:34;16.6;94.7;678.04
2020/11/01 03:59:34;16.6;94.6;678.14
2020/11/01 04:00:34;16.6;94.7;677.92
2020/11/01 04:01:34;16.6;94.6;678.46
2020/11/01 04:02:34;16.6;94.6;678.04
2020/11/01 04:03:35;16.6;94.7;677.97
2020/11/01 04:04:34;16.6;94.8;678.32
2020/11/01 04:05:35;16.6;94.7;678.02
2020/11/01 04:06:35;16.6;94.7;677.9
2020/11/01 04:07:35;16.6;94.8;677.74
2020/11/01 04:08:35;16.6;94.8;677.95
2020/11/01 04:09:35;16.6;94.8;678.2
2020/11/01 04:10:35;16.6;94.8;678.1
2020/11/01 04:11:35;16.6;94.8;677.69
2020/11/01 04:12:36;16.6;95.0;677.79
2020/11/01 04:13:36;16.6;95.0;677.72
2020/11/01 04:14:36;16.6;95.0;677.89
2020/11/01 04:15:36;16.6;95.0;677.63
2020/11/01 04:16:36;16.6;95.0;677.52
2020/11/01 04:17:36;16.6;95.1;677.54
2020/11/01 04:18:37;16.6;95.1;677.4
2020/11/01 04:19:37;16.6;95.0;677.15
2020/11/01 04:20:37;16.6;94.9;677.63
2020/11/01 04:21:37;16.6;94.9;677.11
2020/11/01 04:22:37;16.6;95.0;677.79
2020/11/01 04:23:37;16.6;95.0;677.26
2020/11/01 04:24:37;16.7;95.0;677.01
2020/11/01 04:25:37;16.7;94.8;677.3
2020/11/01 04:26:37;16.7;94.7;676.85
2020/11/01 04:27:38;16.7;94.7;677.00
2020/11/01 04:28:38;16.7;94.6;676.96
2020/11/01 04:29:38;16.7;94.5;676.85
2020/11/01 04:30:38;16.7;94.6;676.78
2020/11/01 04:31:38;16.7;94.5;676.97
2020/11/01 04:32:38;16.7;94.4;676.82
2020/11/01 04:33:39;16.8;94.4;676.44
2020/11/01 04:34:39;16.8;94.4;676.6
2020/11/01 04:35:39;16.8;94.5;676.29
2020/11/01 04:36:39;16.8;94.3;676.53
2020/11/01 04:37:39;16.8;94.3;676.66
2020/11/01 04:38:39;16.8;94.3;676.32
2020/11/01 04:39:40;16.8;94.3;676.76
2020/11/01 04:40:40;16.8;94.3;676.98
2020/11/01 04:41:40;16.8;94.3;676.25
2020/11/01 04:42:40;16.8;94.2;676.5
2020/11/01 04:43:40;16.8;94.2;676.34
2020/11/01 04:44:40;16.8;94.3;676.39
2020/11/01 04:45:41;16.8;94.2;676.49
2020/11/01 04:46:41;16.8;94.2;676.25
2020/11/01 04:47:41;16.8;94.2;676.55
2020/11/01 04:48:41;16.8;94.3;676.25
2020/11/01 04:49:41;16.8;94.2;676.06
2020/11/01 04:50:41;16.8;94.2;676.27
2020/11/01 04:51:41;16.8;94.2;676.15
2020/11/01 04:52:41;16.8;94.2;676.26
2020/11/01 04:53:41;16.8;94.2;676.19
2020/11/01 04:54:42;16.8;94.2;676.25
2020/11/01 04:55:42;16.8;94.2;676.16
2020/11/01 04:56:42;16.8;94.2;676.35
2020/11/01 04:57:42;16.8;94.2;675.51
2020/11/01 04:58:42;16.8;94.2;676.2
2020/11/01 04:59:42;16.8;94.2;676.09
2020/11/01 05:00:42;16.8;94.2;676.42
2020/11/01 05:01:42;16.8;94.2;676.1
2020/11/01 05:02:43;16.8;94.2;675.95
2020/11/01 05:03:43;16.8;94.2;676.16
2020/11/01 05:04:43;16.8;94.2;675.83
2020/11/01 05:05:43;16.8;94.2;675.65
2020/11/01 05:06:43;16.8;94.1;676.41
2020/11/01 05:07:43;16.8;94.1;676.01
2020/11/01 05:08:44;16.8;94.3;675.91
2020/11/01 05:09:44;16.8;94.3;676.38
2020/11/01 05:10:44;16.8;94.3;676.32
2020/11/01 05:11:44;16.7;94.3;676.16
2020/11/01 05:12:44;16.7;94.5;676.2
2020/11/01 05:13:44;16.7;94.6;676.11
2020/11/01 05:14:44;16.7;94.7;676.13
2020/11/01 05:15:44;16.7;94.7;676.51
2020/11/01 05:16:45;16.7;94.7;676.24
2020/11/01 05:17:45;16.7;94.8;676.35
2020/11/01 05:18:45;16.7;94.8;676.1
2020/11/01 05:19:45;16.7;94.8;676.42
2020/11/01 05:20:45;16.7;94.8;676.21
2020/11/01 05:21:45;16.7;94.7;675.73
2020/11/01 05:22:45;16.7;94.7;676.15
2020/11/01 05:23:46;16.7;94.6;676.28
2020/11/01 05:24:46;16.7;94.6;676.19
2020/11/01 05:25:46;16.7;94.7;676.57
2020/11/01 05:26:46;16.7;94.8;676.42
2020/11/01 05:27:46;16.7;94.7;676.13
2020/11/01 05:28:46;16.7;94.6;675.77
2020/11/01 05:29:47;16.7;94.6;676.62
2020/11/01 05:30:46;16.7;94.7;675.79
2020/11/01 05:31:47;16.7;94.8;675.92
2020/11/01 05:32:47;16.7;94.7;676.33
2020/11/01 05:33:47;16.7;94.8;675.89
2020/11/01 05:34:47;16.7;94.8;675.91
2020/11/01 05:35:47;16.7;94.8;676.17
2020/11/01 05:36:47;16.7;94.8;676.3
2020/11/01 05:37:48;16.7;94.8;676.24
2020/11/01 05:38:48;16.7;94.7;675.78
2020/11/01 05:39:48;16.8;94.6;675.41
2020/11/01 05:40:49;16.8;94.6;675.85
2020/11/01 05:41:48;16.8;94.5;675.88
2020/11/01 05:42:48;16.8;94.5;676.23
2020/11/01 05:43:48;16.8;94.5;675.91
2020/11/01 05:44:49;16.8;94.5;675.14
2020/11/01 05:45:49;16.8;94.4;675.68
2020/11/01 05:46:49;16.8;94.5;676.21
2020/11/01 05:47:49;16.8;94.5;675.52
2020/11/01 05:48:49;16.8;94.6;676.38
2020/11/01 05:49:49;16.8;94.5;675.49
2020/11/01 05:50:49;16.8;94.5;675.47
2020/11/01 05:51:50;16.8;94.6;675.62
2020/11/01 05:52:50;16.8;94.6;675.67
2020/11/01 05:53:50;16.8;94.6;675.55
2020/11/01 05:54:50;16.8;94.6;675.22
2020/11/01 05:55:50;16.8;94.6;675.24
2020/11/01 05:56:51;16.8;94.6;675.03
2020/11/01 05:57:50;16.8;94.6;675.38
2020/11/01 05:58:51;16.8;94.5;675.44
2020/11/01 05:59:51;16.8;94.5;674.79
2020/11/01 06:00:51;16.9;94.4;675.05
2020/11/01 06:01:51;16.9;94.4;675.11
2020/11/01 06:02:52;16.9;94.4;674.65
2020/11/01 06:03:51;16.9;94.4;674.38
2020/11/01 06:04:51;16.9;94.3;674.6
2020/11/01 06:05:51;16.9;94.4;674.68
2020/11/01 06:06:52;16.9;94.4;674.61
2020/11/01 06:07:52;16.9;94.4;675.07
2020/11/01 06:08:52;16.9;94.4;674.73
2020/11/01 06:09:52;16.9;94.4;675.36
2020/11/01 06:10:52;16.9;94.3;674.63
2020/11/01 06:11:52;16.9;94.3;675.09
2020/11/01 06:12:53;16.9;94.1;674.46
2020/11/01 06:13:53;16.9;94.0;674.32
2020/11/01 06:14:53;16.9;93.9;674.5
2020/11/01 06:15:53;16.9;94.0;674.93
2020/11/01 06:16:53;16.9;94.1;674.55
2020/11/01 06:17:53;16.9;94.1;674.71
2020/11/01 06:18:54;16.9;94.1;674.58
2020/11/01 06:19:54;16.9;94.1;674.61
2020/11/01 06:20:54;16.9;94.1;674.46
2020/11/01 06:21:54;16.9;94.1;674.58
2020/11/01 06:22:54;16.9;94.1;674.52
2020/11/01 06:23:54;16.9;94.2;674.93
2020/11/01 06:24:54;16.9;94.1;674.69
2020/11/01 06:25:54;16.8;94.2;674.69
2020/11/01 06:26:55;16.8;94.3;675.19
2020/11/01 06:27:55;16.8;94.3;674.87
2020/11/01 06:28:55;16.8;94.3;675.08
2020/11/01 06:29:55;16.8;94.4;675.12
2020/11/01 06:30:55;16.8;94.6;675.17
2020/11/01 06:31:55;16.8;94.6;675.27
2020/11/01 06:32:55;16.8;94.5;674.9
2020/11/01 06:33:55;16.8;94.4;675.21
2020/11/01 06:34:56;16.8;94.3;675.44
2020/11/01 06:35:56;16.8;94.3;675.1
2020/11/01 06:36:56;16.8;94.5;675.59
2020/11/01 06:37:56;16.8;94.4;674.78
2020/11/01 06:38:56;16.8;94.5;674.65
2020/11/01 06:39:57;16.8;94.5;674.61
2020/11/01 06:40:56;16.8;94.4;674.76
2020/11/01 06:41:57;16.8;94.4;674.88
2020/11/01 06:42:57;16.8;94.2;674.54
2020/11/01 06:43:57;16.8;94.2;674.52
2020/11/01 06:44:57;16.9;94.2;674.94
2020/11/01 06:45:58;16.9;94.1;674.84
2020/11/01 06:46:57;16.9;94.1;674.46
2020/11/01 06:47:57;16.9;94.1;674.39
2020/11/01 06:48:58;16.9;94.1;674.85
2020/11/01 06:49:58;16.9;94.1;674.14
2020/11/01 06:50:58;16.9;94.1;674.05
2020/11/01 06:51:58;16.9;94.1;674.4
2020/11/01 06:52:58;16.9;94.0;673.95
2020/11/01 06:53:58;16.9;94.1;674.1
2020/11/01 06:54:58;16.9;94.0;674.52
2020/11/01 06:55:59;16.9;93.9;674.12
2020/11/01 06:56:59;16.9;93.8;674.14
2020/11/01 06:57:59;16.9;93.8;673.73
2020/11/01 06:58:59;16.9;93.8;674.06
2020/11/01 06:59:59;16.9;93.8;674.01
2020/11/01 07:00:59;16.9;93.9;674.16
2020/11/01 07:02:00;16.9;94.0;674.11
2020/11/01 07:03:00;16.9;94.0;674.41
2020/11/01 07:04:00;16.9;94.1;674.03
2020/11/01 07:05:00;16.8;94.1;673.95
2020/11/01 07:06:00;16.8;94.3;673.89
2020/11/01 07:07:00;16.9;94.2;674.49
2020/11/01 07:08:00;16.9;94.3;674.43
2020/11/01 07:09:00;16.9;94.3;673.87
2020/11/01 07:10:00;16.9;94.3;673.86
2020/11/01 07:11:01;16.9;94.2;673.77
2020/11/01 07:12:01;16.9;94.2;673.76
2020/11/01 07:13:01;16.9;94.0;673.8
2020/11/01 07:14:01;16.9;93.9;673.86
2020/11/01 07:15:01;16.9;93.9;673.95
2020/11/01 07:16:01;16.9;93.8;673.62
2020/11/01 07:17:01;17.0;93.7;673.42
2020/11/01 07:18:02;17.0;93.6;672.97
2020/11/01 07:19:02;17.0;93.6;673.6
2020/11/01 07:20:02;17.0;93.6;672.99
2020/11/01 07:21:02;17.0;93.6;673.83
2020/11/01 07:22:02;17.0;93.6;673.35
2020/11/01 07:23:03;17.0;93.6;673.38
2020/11/01 07:24:02;17.0;93.6;674.12
2020/11/01 07:25:02;17.0;93.6;673.38
2020/11/01 07:26:03;17.0;93.7;673.14
2020/11/01 07:27:03;17.0;93.6;673.42
2020/11/01 07:28:03;17.0;93.6;673.47
2020/11/01 07:29:04;17.0;93.6;673.05
2020/11/01 07:30:03;17.0;93.6;673.52
2020/11/01 07:31:04;17.0;93.7;673.00
2020/11/01 07:32:04;17.0;93.8;673.53
2020/11/01 07:33:04;17.0;93.9;673.31
2020/11/01 07:34:04;17.0;93.9;674.1
2020/11/01 07:35:04;16.9;93.9;673.57
2020/11/01 07:36:04;17.0;93.9;673.36
2020/11/01 07:37:04;17.0;93.8;673.57
2020/11/01 07:38:04;17.0;93.8;673.33
2020/11/01 07:39:05;17.0;93.8;673.1
2020/11/01 07:40:05;17.0;93.7;673.31
2020/11/01 07:41:05;17.0;93.6;673.49
2020/11/01 07:42:05;17.0;93.6;673.42
2020/11/01 07:43:05;17.0;93.6;672.76
2020/11/01 07:44:05;17.1;93.5;672.51
2020/11/01 07:45:06;17.1;93.5;672.28
2020/11/01 07:46:06;17.1;93.5;673.22
2020/11/01 07:47:06;17.1;93.4;672.41
2020/11/01 07:48:06;17.1;93.4;672.4
2020/11/01 07:49:06;17.1;93.5;673.04
2020/11/01 07:50:06;17.1;93.5;673.07
2020/11/01 07:51:07;17.1;93.6;672.61
2020/11/01 07:52:06;17.1;93.6;671.97
2020/11/01 07:53:06;17.1;93.5;672.51
2020/11/01 07:54:07;17.1;93.4;671.93
2020/11/01 07:55:07;17.1;93.4;672.48
2020/11/01 07:56:07;17.1;93.4;672.00
2020/11/01 07:57:07;17.2;93.4;672.47
2020/11/01 07:58:07;17.2;93.5;671.8
2020/11/01 07:59:07;17.2;93.5;671.93
2020/11/01 08:00:07;17.2;93.5;671.75
2020/11/01 08:01:08;17.2;93.4;671.2
2020/11/01 08:02:08;17.3;93.3;671.5
2020/11/01 08:03:08;17.3;93.3;671.1
2020/11/01 08:04:08;17.3;93.1;670.74
2020/11/01 08:05:08;17.3;92.9;671.45
2020/11/01 08:06:08;17.3;93.0;671.06
2020/11/01 08:07:09;17.4;93.0;671.08
2020/11/01 08:08:08;17.4;93.0;670.58
2020/11/01 08:09:09;17.4;92.9;670.98
2020/11/01 08:10:09;17.4;92.9;670.36
2020/11/01 08:11:09;17.4;92.8;670.57
2020/11/01 08:12:09;17.4;92.8;670.4
2020/11/01 08:13:10;17.5;92.8;670.01
2020/11/01 08:14:09;17.5;92.8;669.66
2020/11/01 08:15:09;17.5;92.7;670.33
2020/11/01 08:16:09;17.5;92.6;669.81
2020/11/01 08:17:10;17.6;92.5;669.08
2020/11/01 08:18:10;17.6;92.4;669.63
2020/11/01 08:19:11;17.6;92.1;669.87
2020/11/01 08:20:10;17.6;92.0;669.42
2020/11/01 08:21:10;17.6;92.0;669.51
2020/11/01 08:22:10;17.6;92.0;669.21
2020/11/01 08:23:11;17.7;92.0;668.53
2020/11/01 08:24:11;17.7;92.0;668.66
2020/11/01 08:25:11;17.7;91.9;668.89
2020/11/01 08:26:11;17.7;91.9;668.46
2020/11/01 08:27:11;17.8;91.8;668.33
2020/11/01 08:28:11;17.8;91.5;668.7
2020/11/01 08:29:11;17.8;91.3;668.52
2020/11/01 08:30:12;17.8;91.3;668.09
2020/11/01 08:31:12;17.9;91.3;668.14
2020/11/01 08:32:12;17.9;91.3;667.46
2020/11/01 08:33:12;17.9;91.1;667.92
2020/11/01 08:34:12;17.9;90.9;667.25
2020/11/01 08:35:13;17.9;90.8;667.27
2020/11/01 08:36:13;18.0;90.8;667.04
2020/11/01 08:37:13;18.0;90.7;667.09
2020/11/01 08:38:13;18.1;90.7;666.6
2020/11/01 08:39:13;18.1;90.6;665.95
2020/11/01 08:40:13;18.1;90.2;665.52
2020/11/01 08:41:13;18.1;89.8;666.37
2020/11/01 08:42:13;18.2;89.9;665.66
2020/11/01 08:43:13;18.2;90.0;665.4
2020/11/01 08:44:14;18.2;89.9;665.67
2020/11/01 08:45:14;18.3;89.8;664.82
2020/11/01 08:46:14;18.3;89.7;665.15
2020/11/01 08:47:14;18.3;89.6;664.86
2020/11/01 08:48:14;18.4;89.3;664.52
2020/11/01 08:49:14;18.4;89.0;664.29
2020/11/01 08:50:14;18.4;88.9;663.6
2020/11/01 08:51:15;18.5;88.9;663.5
2020/11/01 08:52:15;18.5;88.7;663.62
2020/11/01 08:53:15;18.6;88.5;663.45
2020/11/01 08:54:15;18.6;88.1;663.45
2020/11/01 08:55:15;18.6;88.1;663.26
2020/11/01 08:56:15;18.7;88.1;662.45
2020/11/01 08:57:15;18.7;87.9;663.07
2020/11/01 08:58:15;18.8;87.9;662.22
2020/11/01 08:59:16;18.8;87.6;661.37
2020/11/01 09:00:16;18.8;87.4;661.35
2020/11/01 09:01:16;18.9;87.0;660.81
2020/11/01 09:02:16;18.9;86.8;660.88
2020/11/01 09:03:16;18.9;86.4;661.16
2020/11/01 09:04:17;19.0;86.4;660.46
2020/11/01 09:05:17;19.1;86.4;659.71
2020/11/01 09:06:17;19.1;86.1;659.44
2020/11/01 09:07:17;19.2;85.7;659.53
2020/11/01 09:08:17;19.2;85.5;659.19
2020/11/01 09:09:17;19.2;85.5;658.5
2020/11/01 09:10:17;19.3;85.3;658.09
2020/11/01 09:11:17;19.3;85.1;658.2
2020/11/01 09:12:18;19.4;84.8;657.19
2020/11/01 09:13:18;19.4;84.7;657.57
2020/11/01 09:14:18;19.5;84.6;656.81
2020/11/01 09:15:18;19.5;84.5;656.29
2020/11/01 09:16:18;19.6;84.5;655.83
